USNA USANA-Health-Sciences
USPH U-S-Physical-Therapy
USX U-S-Xpress-Enterprises
UTI Universal-Technical-Institute-
UTL UNITIL-
UTZ Utz-Brands-
UTZ-W Utz-Brands
UUU Universal-Security-Instruments
UUUU Energy-Fuels-
UUUU-W Energy-Fuels-
UVE UNIVERSAL-INSURANCE-HOLDINGS-
UVV Universal-
UZA United-States-Cellular-
UZB United-States-Cellular-
UZC United-States-Cellular-
UZD United-States-Cellular-
VAC Marriott-Vacations-Worldwide-
VAPO Vapotherm
VAR Varian-Medical-Systems
VCRA Vocera-Communications
VEC Vectrus
VEEV Veeva-Systems-
VEL Velocity-Financial
VER VEREIT
VET Vermilion-Energy-
VFC V-F-
VGR Vector-
VGZ Vista-Gold-
VHC VirnetX-Holding-
VHI Valhi
VICI VICI-Properties-
VIPS Vipshop-Holdings-
VLO Valero-Energy-
VLRS Controladora-Vuela-Compania-de-Aviacion-
VMC Vulcan-Materials-
VMI Valmont-Industries
VMW Vmware
VNCE Vince-Holding-
VNE Veoneer
VNRX VolitionRX-
VNT-V Vontier-
VNTR Venator-Materials-
VOLT Volt-Information-Sciences
VOYA Voya-Financial
VPG Vishay-Precision-
VRS Verso-
VRT Vertiv-Holdings-
VRTV Veritiv-
VSH Vishay-Intertechnology
VSLR Vivint-Solar
VST Vistra-
VST-A Vistra-
VSTO Vista-Outdoor-
VTOL Bristow-
VTR Ventas
VVI Viad-
VVNT Vivint-Smart-Home
VVNT-W Vivint-Smart-Home
VVV Valvoline-
VZ Verizon-Communications-
W Wayfair-
WAB Westinghouse-Air-Brake-Technologies-
WAL Western-Alliance-Bancorporation-
WAT Waters-
WBAI 500-com-
WBK Westpac-Banking-
WBS Webster-Financial-
WBT Welbilt
WCC WESCO-International
WCN Waste-Connections
WD Walker-
WDR Waddell-
WEC WEC-Energy-
WEI Weidai-
WELL Welltower-
WES Western-Midstream-Partners-
WEX WEX-
WF Woori-Financial-
WFC Wells-Fargo-
WGO Winnebago-Industries
WH Wyndham-Hotels-
WHD Cactus
WHG Westwood-Holdings-
WHR Whirlpool-
WIT Wipro-
WK Workiva-
WLK Westlake-Chemical-
WLKP Westlake-Chemical-Partners-LP-
WLL Whiting-Petroleum-
WM Waste-Management
WMB Williams-Companies
WMC Western-Asset-Mortgage-Capital-
WMK Weis-Markets
WMS Advanced-Drainage-Systems
WMT Walmart-
WNC Wabash-National-
WNS WNS-
WOR Worthington-Industries
WORK Slack-Technologies
WOW WideOpenWest
WPF Foley-Trasimene-Acquisition-
WPG Washington-Prime-
WPM Wheaton-Precious-Metals-
WPX WPX-Energy
WRB W-R-Berkley-
WRI Weingarten-Realty-Investors-
WRK Westrock-
WRN Western-Copper-and-Gold-
WSM Williams-Sonoma
WSO Watsco
WSO-B Watsco
WSR Whitestone-REIT-
WST West-Pharmaceutical-Services
WTI W-T-Offshore
WTM White-Mountains-Insurance-
WTRG Essential-Utilities
WTRU Essential-Utilities
WTS Watts-Water-Technologies
WTT Wireless-Telecom-
WTTR Select-Energy-Services
WU Western-Union-
WWE World-Wrestling-Entertainment
WWW Wolverine-World-Wide
WY Weyerhaeuser-
WYND Wyndham-Destinations
WYY WidePoint-
X United-States-Steel-
XAN Exantas-Capital-
XEC Cimarex-Energy-
XHR Xenia-Hotels-
XOM Exxon-Mobil-
XPEV XPeng-
XPL Solitario-Zinc-
XPO XPO-Logistics
XRX Xerox-Holdings-
XTNT Xtant-Medical-Holdings
XXII 22nd-Century-
XYL Xylem-
Y Alleghany-
YAC Yucaipa-Acquisition-
YCBD cbdMD
YELP Yelp-
YETI YETI-Holdings
YEXT Yext
YPF YPF-Sociedad-Anonima-
YRD Yiren-Digital-
YUM Yum!-Brands
YUMC Yum-China-Holdings
ZBH Zimmer-Biomet-Holdings
ZDGE Zedge
ZEN Zendesk
ZNH China-Southern-Airlines-
ZOM Zomedica-Pharmaceuticals-
ZTEST BATS-BZX-Exchange-
ZTO ZTO-Express-
ZTS Zoetis-
ZUO Zuora
ZYME Zymeworks-
AAL American-Airlines-Group-
AAME Atlantic-American-
AAOI Applied-Optoelectronics=
AAON AAON
AAPL Apple-
AAWW Atlas-Air-Worldwide-Holdings-
AAXN Axon-Enterprise
ABCB Ameris-Bancorp-
ABEO Abeona-Therapeutics-
ABIO ARCA-biopharma
ABMD ABIOMED
ABTX Allegiance-Bancshares
ABUS Arbutus-Biopharma-
ACAD ACADIA-Pharmaceuticals-
ACBI Atlantic-Capital-Bancshares
ACCD Accolade
ACER Acer-Therapeutics-
ACET Adicet-Bio
ACGL Arch-Capital-Group-
ACGLO Arch-Capital-Group-
ACGLP Arch-Capital-Group-
ACHC Acadia-Healthcare-Company
ACHV Achieve-Life-Sciences
ACIA Acacia-Communications
ACIU AC-Immune-SA-
ACIW ACI-Worldwide
ACLS Axcelis-Technologies
ACMR ACM-Research
ACNB ACNB-
ACOR Acorda-Therapeutics
ACRS Aclaris-Therapeutics
ACRX AcelRx-Pharmaceuticals
ACST Acasti-Pharma
ACTCU ArcLight-Clean-Transition-
ACTG Acacia-Research-
ADAP Adaptimmune-Therapeutics-plc-
ADBE Adobe-
ADES Advanced-Emissions-Solutions
ADI Analog-Devices
ADIL Adial-Pharmaceuticals
ADILW Adial-Pharmaceuticals
ADMA ADMA-Biologics-
ADMP Adamis-Pharmaceuticals-
ADMS Adamas-Pharmaceuticals
ADP Automatic-Data-Processing
ADPT Adaptive-Biotechnologies-
ADRO Aduro-Biotech
ADSK Autodesk
ADTN ADTRAN
ADTX ADiTx-Therapeutics
ADUS Addus-HomeCare-
ADVM Adverum-Biotechnologies
ADXN Addex-Therapeutics-
ADXS Advaxis
AEGN Aegion-
AEHR Aehr-Test-Systems-
AEIS Advanced-Energy-Industries
AEMD Aethlon-Medical
AERI Aerie-Pharmaceuticals
AESE Allied-Esports-Entertainment
AEY ADDvantage-Technologies-Group
AEYE AudioEye
AEZS Aeterna-Zentaris-
AFIB Acutus-Medical
AFMD Affimed-N.V.-
AFYA Afya
AGEN Agenus-
AGFS AgroFresh-Solutions
AGIO Agios-Pharmaceuticals
AGLE Aeglea-BioTherapeutics
AGMH AGM-Group-Holdings-
AGNC AGNC-Investment-
AGNCM AGNC-Investment-
AGNCN AGNC-Investment-
AGNCO AGNC-Investment-
AGNCP AGNC-Investment-
AGRX Agile-Therapeutics
AGTC Applied-Genetic-Technologies-
AGYS Agilysys
AHCO AdaptHealth-
AHPI Allied-Healthcare-Products
AIH Aesthetic-Medical-International-Holdings-Group-
AIHS Senmiao-Technology
AIKI AIkido-Pharma-
AIMC Altra-Industrial-Motion-
AIMT Aimmune-Therapeutics
AINV Apollo-Investment-
AIRG Airgain
AIRT Air-T
AIRTP Air-T
AIRTW Air-T
AKAM Akamai-Technologies
AKBA Akebia-Therapeutics
AKCA Akcea-Therapeutics
AKER Akers-Biosciences-
